sektori,zaplata,year,month
obshto,499,2008,1
selsko,329,2008,1
dobiwna,772,2008,1
prerabotwashta,440,2008,1
energiq,885,2008,1
woda,513,2008,1
stroitelstwo,433,2008,1
tyrgowiq,442,2008,1
transport,577,2008,1
hoteli,332,2008,1
informaciq,1155,2008,1
finansi,1271,2008,1
imoti,510,2008,1
nauka,648,2008,1
administratiwni,324,2008,1
dyrvawnouprawlenie,581,2008,1
obrazowanie,484,2008,1
zdraweopazwane,482,2008,1
kultura,427,2008,1
drugi,390,2008,1
obshto,494,2008,2
selsko,343,2008,2
dobiwna,760,2008,2
prerabotwashta,444,2008,2
energiq,953,2008,2
woda,515,2008,2
stroitelstwo,446,2008,2
tyrgowiq,436,2008,2
transport,546,2008,2
hoteli,329,2008,2
informaciq,999,2008,2
finansi,1099,2008,2
imoti,517,2008,2
nauka,630,2008,2
administratiwni,327,2008,2
dyrvawnouprawlenie,588,2008,2
obrazowanie,489,2008,2
zdraweopazwane,498,2008,2
kultura,434,2008,2
drugi,392,2008,2
obshto,521,2008,3
selsko,369,2008,3
dobiwna,981,2008,3
prerabotwashta,466,2008,3
energiq,1036,2008,3
woda,566,2008,3
stroitelstwo,449,2008,3
tyrgowiq,464,2008,3
transport,577,2008,3
hoteli,335,2008,3
informaciq,1019,2008,3
finansi,1135,2008,3
imoti,545,2008,3
nauka,658,2008,3
administratiwni,355,2008,3
dyrvawnouprawlenie,642,2008,3
obrazowanie,496,2008,3
zdraweopazwane,521,2008,3
kultura,438,2008,3
drugi,493,2008,3
obshto,546,2008,4
selsko,365,2008,4
dobiwna,791,2008,4
prerabotwashta,464,2008,4
energiq,1004,2008,4
woda,554,2008,4
stroitelstwo,549,2008,4
tyrgowiq,485,2008,4
transport,579,2008,4
hoteli,359,2008,4
informaciq,1060,2008,4
finansi,1636,2008,4
imoti,578,2008,4
nauka,707,2008,4
administratiwni,340,2008,4
dyrvawnouprawlenie,662,2008,4
obrazowanie,507,2008,4
zdraweopazwane,557,2008,4
kultura,457,2008,4
drugi,411,2008,4
obshto,527,2008,5
selsko,360,2008,5
dobiwna,846,2008,5
prerabotwashta,470,2008,5
energiq,1101,2008,5
woda,563,2008,5
stroitelstwo,462,2008,5
tyrgowiq,462,2008,5
transport,586,2008,5
hoteli,385,2008,5
informaciq,1049,2008,5
finansi,1068,2008,5
imoti,560,2008,5
nauka,711,2008,5
administratiwni,347,2008,5
dyrvawnouprawlenie,628,2008,5
obrazowanie,529,2008,5
zdraweopazwane,553,2008,5
kultura,472,2008,5
